Año,Mujeres,Hombre,Total,PorMujer,PorHombre,,
2004,3307,6486,9793,33.76901869,66.23098131,,
2005,3997,7572,11569,34.54922638,65.45077362,,
2006,4676,8692,13368,34.97905446,65.02094554,,
2007,5420,9670,15090,35.91782638,64.08217362,,
2008,6034,10690,16724,36.07988519,63.92011481,,
2009,6658,11302,17960,37.07126949,62.92873051,,
2010,6762,11370,18132,37.29318332,62.70681668,,
2011,6435,10596,17031,37.78404087,62.21595913,,
2012,5486,9055,14541,37.72780414,62.27219586,,
2013,4221,7086,11307,37.3,62.7,,
2013a,5722,9409,15131,37.8,62.2,,
